purchaseOrderId,ASN code,timestamp,purchaseWaybillId
845,ASN2025101011,2025-10-09T18:39:25.066640,
846,ASN2025101012,2025-10-09T18:39:30.628090,
847,ASN2025101013,2025-10-09T18:39:36.563851,
848,ASN2025101014,2025-10-09T18:39:42.392426,
849,ASN2025101015,2025-10-09T18:39:48.723023,
850,ASN2025101016,2025-10-09T18:39:53.516994,
851,ASN2025101017,2025-10-09T18:39:58.772845,
852,ASN2025101018,2025-10-09T18:40:05.311838,
853,ASN2025101019,2025-10-09T18:40:11.915887,
854,ASN2025101020,2025-10-09T18:40:17.437475,
855,ASN2025101021,2025-10-09T18:40:22.927510,
856,ASN2025101022,2025-10-09T18:40:28.158994,
857,ASN2025101023,2025-10-09T18:40:33.579101,
858,ASN2025101024,2025-10-09T18:40:39.952736,
859,ASN2025101025,2025-10-09T18:40:45.587931,
860,ASN2025101026,2025-10-09T18:40:51.905509,
861,ASN2025101027,2025-10-09T18:40:58.294883,
863,ASN2025101029,2025-10-09T18:41:10.884750,
